order_id,customer_id,product_id,product_info,shipping_info,order_date,quantity,unit_price,discount_pct,amount,status,region,channel,payment_method,updated_at
ORD-000001,CUST-0118,PROD-0008,Electronics|Laptops|Lenovo ThinkPad X1,Evri|TRK809861078,2024-06-18,1,1392.79,5,1323.15,CANCELLED,North America,Web,Bank Transfer,2024-06-18 02:00:00
ORD-000002,CUST-0263,PROD-0010,Electronics|Laptops|ASUS ZenBook Pro,Evri|PKG244658840,2024-10-20,2,1071.21,0,2142.42,Complete,Europe,Mobile App,Crypto,2024-10-23 00:00:00
ORD-000003,CUST-0242,PROD-0052,Home & Garden|Garden|Raised Garden Bed 120cm,TNT Express|DEL751252216,2024-03-28,2,139.23,10,250.61,COMPLETED,Asia Pacific,Web,Crypto,2024-03-30 17:00:00
ORD-000004,CUST-0194,PROD-0036,Clothing|Kids' Apparel|Waterproof Raincoat,Evri|TRK346760672,2024-03-08,1,66.3,10,59.67,Returned,Asia Pacific,Web,Crypto,2024-03-08 12:00:00
ORD-000005,CUST-0247,PROD-0019,Electronics|Cameras|Canon EOS R6 II,GLS|TRK200061963,2024-03-07,5,2522.56,0,12612.8,In Progress,Europe,Web,Credit Card,2024-03-09 19:00:00
ORD-000006,CUST-0069,PROD-0040,Clothing|Accessories|Wool Beanie,DPD|TRK556865760,2024-09-01,2,38.44,0,76.88,shipped,Europe,Mobile App,Bank Transfer,2024-09-02 08:00:00
ORD-000007,CUST-0004,PROD-0005,Electronics|Smartphones|Sony Xperia 1 VI,GLS|TRK658090039,2024-04-15,3,1270.58,0,3811.74,COMPLETED,Europe,Mobile App,PayPal,2024-04-16 09:00:00
ORD-000008,CUST-0204,PROD-0093,Books & Media|Comics|The Lost Continent,Evri|SHP830794809,2024-07-30,5,21.36,5,101.46,Complete,Europe,Mobile App,Bank Transfer,2024-07-31 08:00:00
ORD-000009,CUST-0118,PROD-0090,Books & Media|Educational|ML in Production,DHL|TRK902959376,2024-03-23,1,54.96,5,52.21,Pending,Asia Pacific,Mobile App,Credit Card,2024-03-23 20:00:00
ORD-000010,CUST-0223,PROD-0023,Clothing|Men's Apparel|Classic Chino Pants,DHL|DEL744508634,2024-02-02,3,73.72,0,221.16,Completed,Asia Pacific,Mobile App,Crypto,2024-02-04 18:00:00
ORD-000011,CUST-0104,PROD-0024,Clothing|Men's Apparel|Oxford Button Shirt,USPS|DEL111500207,2024-09-22,3,54.68,20,131.23,Returned,Europe,Web,Crypto,2024-09-22 21:00:00
ORD-000012,CUST-0142,PROD-0071,Sports & Outdoors|Team Sports|Basketball Size 7,FedEx|PKG193246752,2024-06-29,4,57.66,0,230.64,returned,North America,Partner API,Credit Card,2024-06-29 11:00:00
ORD-000013,CUST-0100,PROD-0054,Home & Garden|Garden|Garden Hose Reel,Royal Mail|PKG751077748,2024-07-25,5,78.42,0,392.1,PENDING,Europe,Mobile App,Credit Card,2024-07-27 16:00:00
ORD-000014,CUST-0227,PROD-0027,Clothing|Men's Apparel|Waterproof Parka,Royal Mail|SHP845382835,2024-10-15,4,211.89,20,678.05,Pending,Middle East & Africa,Mobile App,Bank Transfer,2024-10-15 03:00:00
ORD-000015,CUST-0118,PROD-0052,Home & Garden|Garden|Raised Garden Bed 120cm,Hermes|PKG826829775,2024-07-30,3,129.51,0,388.53,shipped,North America,Web,Bank Transfer,2024-07-31 19:00:00
ORD-000016,CUST-0294,PROD-0009,Electronics|Laptops|HP Spectre x360,DPD|SHP334683594,2024-04-03,2,1298.69,0,2597.38,Shipped,Asia Pacific,Web,Credit Card,2024-04-04 05:00:00
ORD-000017,CUST-0055,PROD-0010,Electronics|Laptops|ASUS ZenBook Pro,DPD|PKG936378830,2024-02-10,4,1231.75,20,3941.6,Completed,Asia Pacific,Web,Crypto,2024-02-11 16:00:00
ORD-000018,CUST-0114,PROD-0055,Home & Garden|Garden|Solar Lantern Set 4pk,DHL|SHP527219856,2024-03-06,1,59.36,5,56.39,CANCELLED,Latin America,Web,Crypto,2024-03-07 20:00:00
ORD-000019,CUST-0005,PROD-0031,Clothing|Women's Apparel|Linen Blazer,UPS|DEL438927967,2024-04-17,4,141.7,0,566.8,Pending,Europe,Web,Credit Card,2024-04-19 22:00:00
ORD-000020,CUST-0095,PROD-0036,Clothing|Kids' Apparel|Waterproof Raincoat,Evri|SHP492908067,2024-08-05,2,73.54,20,117.66,Pending,Europe,Mobile App,PayPal,2024-08-07 09:00:00
ORD-000021,CUST-0139,PROD-0010,Electronics|Laptops|ASUS ZenBook Pro,TNT Express|TRK873969707,2024-10-11,4,1301.53,0,5206.12,COMPLETED,Asia Pacific,Partner API,Credit Card,2024-10-13 12:00:00
ORD-000022,CUST-0265,PROD-0086,Books & Media|Non-Fiction|The Creator Economy,USPS|PKG777157408,2024-06-10,4,19.99,10,71.96,Completed,Europe,Partner API,Credit Card,2024-06-10 07:00:00
ORD-000023,CUST-0172,PROD-0014,Electronics|Tablets|Amazon Fire Max 11,UPS|DEL899500884,2024-07-03,3,232.32,20,557.57,Shipped,North America,Mobile App,Credit Card,2024-07-04 20:00:00
ORD-000024,CUST-0262,PROD-0084,Books & Media|Non-Fiction|The Art of Deep Focus,Royal Mail|SHP449063037,2024-08-16,1,18.46,0,18.46,cancelled,Europe,Web,Credit Card,2024-08-17 19:00:00
